Name,BBG_Ticker,Field,Country,Category
,USDTRYV6M Curncy,PX_LAST,,
,USDHKDV6M Curncy,PX_LAST,,
,USDZARV6M Curncy,PX_LAST,,
,USDMXNV6M Curncy,PX_LAST,,
,USDCNYV6M Curncy,PX_LAST,,
,USDKRWV6M Curncy,PX_LAST,,
,USDTWDV6M Curncy,PX_LAST,,
,USDIDRV6M Curncy,PX_LAST,,
,USDINRV6M Curncy,PX_LAST,,
,USDPHPV6M Curncy,PX_LAST,,
,EURUSDV12M Curncy,PX_LAST,,
,USDJPYV12M Curncy,PX_LAST,,
,GBPUSDV12M Curncy,PX_LAST,,
,AUDUSDV12M Curncy,PX_LAST,,
,USDCADV12M Curncy,PX_LAST,,
,NZDUSDV12M Curncy,PX_LAST,,
,USDCHFV12M Curncy,PX_LAST,,
,USDNOKV12M Curncy,PX_LAST,,
,USDCNHV12M Curncy,PX_LAST,,
,USDSGDV12M Curncy,PX_LAST,,
,USDTRYV12M Curncy,PX_LAST,,
,USDHKDV12M Curncy,PX_LAST,,
,USDZARV12M Curncy,PX_LAST,,
,USDMXNV12M Curncy,PX_LAST,,
,USDCNYV12M Curncy,PX_LAST,,
,USDKRWV12M Curncy,PX_LAST,,
,USDTWDV12M Curncy,PX_LAST,,
,USDIDRV12M Curncy,PX_LAST,,
,USDINRV12M Curncy,PX_LAST,,
,USDPHPV12M Curncy,PX_LAST,,
,EURUSDH3M Curncy,PX_LAST,,
,USDJPYH3M Curncy,PX_LAST,,
,GBPUSDH3M Curncy,PX_LAST,,
,AUDUSDH3M Curncy,PX_LAST,,
,USDCADH3M Curncy,PX_LAST,,
,NZDUSDH3M Curncy,PX_LAST,,
,USDCHFH3M Curncy,PX_LAST,,
,USDNOKH3M Curncy,PX_LAST,,
,USDCNHH3M Curncy,PX_LAST,,
,USDSGDH3M Curncy,PX_LAST,,
,USDTRYH3M Curncy,PX_LAST,,
,USDHKDH3M Curncy,PX_LAST,,
,USDZARH3M Curncy,PX_LAST,,
,USDMXNH3M Curncy,PX_LAST,,
,USDCNYH3M Curncy,PX_LAST,,
,USDKRWH3M Curncy,PX_LAST,,
,USDTWDH3M Curncy,PX_LAST,,
,USDIDRH3M Curncy,PX_LAST,,
,USDINRH3M Curncy,PX_LAST,,
,USDPHPH3M Curncy,PX_LAST,,
,EURUSD25R3M Curncy,PX_LAST,,
,USDJPY25R3M Curncy,PX_LAST,,
,GBPUSD25R3M Curncy,PX_LAST,,
,AUDUSD25R3M Curncy,PX_LAST,,
,USDCAD25R3M Curncy,PX_LAST,,
,NZDUSD25R3M Curncy,PX_LAST,,
,USDCHF25R3M Curncy,PX_LAST,,
,USDNOK25R3M Curncy,PX_LAST,,
,USDCNH25R3M Curncy,PX_LAST,,
,USDSGD25R3M Curncy,PX_LAST,,
,USDTRY25R3M Curncy,PX_LAST,,
,USDHKD25R3M Curncy,PX_LAST,,
,USDZAR25R3M Curncy,PX_LAST,,
,USDMXN25R3M Curncy,PX_LAST,,
,USDCNY25R3M Curncy,PX_LAST,,
,USDKRW25R3M Curncy,PX_LAST,,
,USDTWD25R3M Curncy,PX_LAST,,
,USDIDR25R3M Curncy,PX_LAST,,
,USDINR25R3M Curncy,PX_LAST,,
,USDPHP25R3M Curncy,PX_LAST,,
,EURUSD25B3M Curncy,PX_LAST,,
,USDJPY25B3M Curncy,PX_LAST,,
,GBPUSD25B3M Curncy,PX_LAST,,
,AUDUSD25B3M Curncy,PX_LAST,,
,USDCAD25B3M Curncy,PX_LAST,,
,NZDUSD25B3M Curncy,PX_LAST,,
,USDCHF25B3M Curncy,PX_LAST,,
,USDNOK25B3M Curncy,PX_LAST,,
,USDCNH25B3M Curncy,PX_LAST,,
,USDSGD25B3M Curncy,PX_LAST,,
,USDTRY25B3M Curncy,PX_LAST,,
,USDHKD25B3M Curncy,PX_LAST,,
,USDZAR25B3M Curncy,PX_LAST,,
,USDMXN25B3M Curncy,PX_LAST,,
,USDCNY25B3M Curncy,PX_LAST,,
,USDKRW25B3M Curncy,PX_LAST,,
,USDTWD25B3M Curncy,PX_LAST,,
,USDIDR25B3M Curncy,PX_LAST,,
,USDINR25B3M Curncy,PX_LAST,,
,USDPHP25B3M Curncy,PX_LAST,,
,EURUSDH1M Curncy,PX_LAST,,
,USDJPYH1M Curncy,PX_LAST,,
,GBPUSDH1M Curncy,PX_LAST,,
,AUDUSDH1M Curncy,PX_LAST,,
,USDCADH1M Curncy,PX_LAST,,
,NZDUSDH1M Curncy,PX_LAST,,
,USDCHFH1M Curncy,PX_LAST,,
,USDNOKH1M Curncy,PX_LAST,,
,USDCNHH1M Curncy,PX_LAST,,
,USDSGDH1M Curncy,PX_LAST,,
,USDTRYH1M Curncy,PX_LAST,,
,USDHKDH1M Curncy,PX_LAST,,
,USDZARH1M Curncy,PX_LAST,,
,USDMXNH1M Curncy,PX_LAST,,
,USDCNYH1M Curncy,PX_LAST,,
,USDKRWH1M Curncy,PX_LAST,,
,USDTWDH1M Curncy,PX_LAST,,
,USDIDRH1M Curncy,PX_LAST,,
,USDINRH1M Curncy,PX_LAST,,
,USDPHPH1M Curncy,PX_LAST,,
,SPX 1M 100 VOL BVOL Index,PX_LAST,,
,HSI 3M 100 VOL BVOL Index,PX_LAST,,
,VIX Index,PX_LAST,,
,RXM Index,PX_LAST,,
,NKY 3M 100 VOL BVOL Index,PX_LAST,,
,KOSPI2 3M 100 VOL BVOL Index,PX_LAST,,
,UKX 3M 100 VOL BVOL Index,PX_LAST,,
,I02510YV Index,PX_LAST,,
