Name,BBG_Ticker,Field,Country,Category
CNY 5Y Non-Deliverable IRS,CCSWNI5 Curncy,PX_LAST,China,Rates
CNY 10Y Non-Deliverable IRS,CCSWNI10 Curncy,PX_LAST,China,Rates
KRW 2Y CD IRS,KWSWNI2 Curncy,PX_LAST,KR,Rates
KRW 5Y CD IRS,KWSWNI5 Curncy,PX_LAST,KR,Rates
Indonesia Govt Bond 2Y,GTIDR2Y Govt,PX_LAST,ID,Rates
Indonesia Govt Bond 5Y,GTIDR5Y Govt,PX_LAST,ID,Rates
Indonesia Govt Bond 10Y,GTIDR10Y Govt,PX_LAST,ID,Rates
INR 2Y NDOIS,IRSWNI2 Curncy,PX_LAST,IN,Rates
INR 5Y NDOIS,IRSWNI5 Curncy,PX_LAST,IN,Rates
INR 10Y NDOIS,IRSWNI10 Curncy,PX_LAST,IN,Rates
CNY Shibor 5Y,CINR3P5Y Index,PX_LAST,China,Rates
HKD 2Y IRS,HDSW2 Curncy,PX_LAST,HK,Rates
HKD 5Y IRS,HDSW5 Curncy,PX_LAST,HK,Rates
HKD 10Y IRS,HDSW10 Curncy,PX_LAST,HK,Rates
SGD 2Y OIS,SDSOA2 Curncy,PX_LAST,SG,Rates
SGD 5Y OIS,SDSOA5 Curncy,PX_LAST,SG,Rates
SGD 10Y OIS,SDSOA10 Curncy,PX_LAST,SG,Rates
JPY 2Y OIS,JYSO2 Curncy,PX_LAST,JP,Rates
JPY 5Y OIS,JYSO5 Curncy,PX_LAST,JP,Rates
JPY 10Y OIS,JYSO10 Curncy,PX_LAST,JP,Rates
US OIS 2Y,USOSFR2 Curncy,PX_LAST,US,Rates
US OIS 5Y,USOSFR5 Curncy,PX_LAST,US,Rates
US OIS 10Y,USOSFR10 Curncy,PX_LAST,US,Rates
US OIS 30Y,USOSFR30 Curncy,PX_LAST,US,Rates
USD SOFR OIS 1 WK,USOSFR1Z Curncy,PX_LAST,US,Rates
USD SOFR OIS 2 WK,USOSFR2Z Curncy,PX_LAST,US,Rates
USD SOFR OIS 3 WK,USOSFR3Z Curncy,PX_LAST,US,Rates
USD SOFR OIS 1 MO,USOSFRA Curncy,PX_LAST,US,Rates
USD SOFR OIS 2 MO,USOSFRB Curncy,PX_LAST,US,Rates
USD SOFR OIS 3 MO,USOSFRC Curncy,PX_LAST,US,Rates
USD SOFR OIS 4 MO,USOSFRD Curncy,PX_LAST,US,Rates
USD SOFR OIS 5 MO,USOSFRE Curncy,PX_LAST,US,Rates
USD SOFR OIS 6 MO,USOSFRF Curncy,PX_LAST,US,Rates
USD SOFR OIS 9 MO,USOSFRI Curncy,PX_LAST,US,Rates
USD SOFR OIS 10 MO,USOSFRJ Curncy,PX_LAST,US,Rates
USD SOFR OIS 11 MO,USOSFRK Curncy,PX_LAST,US,Rates
USD SOFR OIS 1 YR,USOSFR1 Curncy,PX_LAST,US,Rates
USD SOFR OIS 18 MO,USOSFR1F Curncy,PX_LAST,US,Rates
USD SOFR OIS 3 YR,USOSFR3 Curncy,PX_LAST,US,Rates
USD SOFR OIS 4 YR,USOSFR4 Curncy,PX_LAST,US,Rates
USD SOFR OIS 6 YR,USOSFR6 Curncy,PX_LAST,US,Rates
USD SOFR OIS 7 YR,USOSFR7 Curncy,PX_LAST,US,Rates
USD SOFR OIS 8 YR,USOSFR8 Curncy,PX_LAST,US,Rates
USD SOFR OIS 9 YR,USOSFR9 Curncy,PX_LAST,US,Rates
USD SOFR OIS 12 YR,USOSFR12 Curncy,PX_LAST,US,Rates
USD SOFR OIS 15 YR,USOSFR15 Curncy,PX_LAST,US,Rates
USD SOFR OIS 20 YR,USOSFR20 Curncy,PX_LAST,US,Rates
USD SOFR OIS 25 YR,USOSFR25 Curncy,PX_LAST,US,Rates
EUR ESTR OIS 1 WK,EESWE1Z Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 2 WK,EESWE2Z Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 1 MO,EESWEA Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 2 MO,EESWEB Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 3 MO,EESWEC Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 6 MO,EESWEF Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 9 MO,EESWEI Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 12 MO,EESWE1 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 18 MO,EESWE1F Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 2 YR,EESWE2 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 3 YR,EESWE3 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 4 YR,EESWE4 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 5 YR,EESWE5 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 6 YR,EESWE6 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 7 YR,EESWE7 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 8 YR,EESWE8 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 9 YR,EESWE9 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 10 YR,EESWE10 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 12 YR,EESWE12 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 15 YR,EESWE15 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 20 YR,EESWE20 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 30 YR,EESWE30 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 40 YR,EESWE40 Curncy,PX_LAST,EU,Rates
EUR ESTR OIS 50 YR,EESWE50 Curncy,PX_LAST,EU,Rates
JPY TONA OIS 1 WK,JYSO1Z Curncy,PX_LAST,JP,Rates
JPY TONA OIS 2 WK,JYSO2Z Curncy,PX_LAST,JP,Rates
JPY TONA OIS 1 MO,JYSOA Curncy,PX_LAST,JP,Rates
JPY TONA OIS 2 MO,JYSOB Curncy,PX_LAST,JP,Rates
JPY TONA OIS 3 MO,JYSOC Curncy,PX_LAST,JP,Rates
JPY TONA OIS 4 MO,JYSOD Curncy,PX_LAST,JP,Rates
JPY TONA OIS 5 MO,JYSOE Curncy,PX_LAST,JP,Rates
JPY TONA OIS 6 MO,JYSOF Curncy,PX_LAST,JP,Rates
JPY TONA OIS 7 MO,JYSOG Curncy,PX_LAST,JP,Rates
JPY TONA OIS 8 MO,JYSOH Curncy,PX_LAST,JP,Rates
JPY TONA OIS 9 MO,JYSOI Curncy,PX_LAST,JP,Rates
JPY TONA OIS 10 MO,JYSOJ Curncy,PX_LAST,JP,Rates
JPY TONA OIS 11 MO,JYSOK Curncy,PX_LAST,JP,Rates
JPY TONA OIS 12 MO,JYSO1 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 15 MO,JYSO1C Curncy,PX_LAST,JP,Rates
JPY TONA OIS 18 MO,JYSO1F Curncy,PX_LAST,JP,Rates
JPY TONA OIS 21 MO,JYSO1I Curncy,PX_LAST,JP,Rates
JPY TONA OIS 3 YR,JYSO3 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 4 YR,JYSO4 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 6 YR,JYSO6 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 7 YR,JYSO7 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 8 YR,JYSO8 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 9 YR,JYSO9 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 12 YR,JYSO12 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 15 YR,JYSO15 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 20 YR,JYSO20 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 25 YR,JYSO25 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 30 YR,JYSO30 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 35 YR,JYSO35 Curncy,PX_LAST,JP,Rates
JPY TONA OIS 40 YR,JYSO40 Curncy,PX_LAST,JP,Rates
GBP SONIA OIS 1 WK,BPSWS1Z Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 2 WK,BPSWS2Z Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 1 MO,BPSWSA Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 2 MO,BPSWSB Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 3 MO,BPSWSC Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 4 MO,BPSWSD Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 5 MO,BPSWSE Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 6 MO,BPSWSF Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 7 MO,BPSWSG Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 8 MO,BPSWSH Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 9 MO,BPSWSI Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 10 MO,BPSWSJ Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 11 MO,BPSWSK Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 12 MO,BPSWS1 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 18 MO,BPSWS1F Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 2 YR,BPSWS2 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 3 YR,BPSWS3 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 4 YR,BPSWS4 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 5 YR,BPSWS5 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 6 YR,BPSWS6 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 7 YR,BPSWS7 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 8 YR,BPSWS8 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 9 YR,BPSWS9 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 10 YR,BPSWS10 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 12 YR,BPSWS12 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 15 YR,BPSWS15 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 20 YR,BPSWS20 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 25 YR,BPSWS25 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 30 YR,BPSWS30 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 35 YR,BPSWS35 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 40 YR,BPSWS40 Curncy,PX_LAST,UK,Rates
GBP SONIA OIS 50 YR,BPSWS50 Curncy,PX_LAST,UK,Rates
AUD COR OIS 1 WK,ADSO1Z Curncy,PX_LAST,AU,Rates
AUD COR OIS 1 MO,ADSOA Curncy,PX_LAST,AU,Rates
AUD COR OIS 2 MO,ADSOB Curncy,PX_LAST,AU,Rates
AUD COR OIS 3 MO,ADSOC Curncy,PX_LAST,AU,Rates
AUD COR OIS 4 MO,ADSOD Curncy,PX_LAST,AU,Rates
AUD COR OIS 5 MO,ADSOE Curncy,PX_LAST,AU,Rates
AUD COR OIS 6 MO,ADSOF Curncy,PX_LAST,AU,Rates
AUD COR OIS 9 MO,ADSOI Curncy,PX_LAST,AU,Rates
AUD COR OIS 12 MO,ADSO1 Curncy,PX_LAST,AU,Rates
AUD COR OIS 18 MO,ADSO1F Curncy,PX_LAST,AU,Rates
AUD COR OIS 3 YR,ADSO3 Curncy,PX_LAST,AU,Rates
AUD COR OIS 4 YR,ADSO4 Curncy,PX_LAST,AU,Rates
AUD COR OIS 5 YR,ADSO5 Curncy,PX_LAST,AU,Rates
AUD COR OIS 6 YR,ADSO6 Curncy,PX_LAST,AU,Rates
AUD COR OIS 7 YR,ADSO7 Curncy,PX_LAST,AU,Rates
AUD COR OIS 8 YR,ADSO8 Curncy,PX_LAST,AU,Rates
AUD COR OIS 9 YR,ADSO9 Curncy,PX_LAST,AU,Rates
AUD COR OIS 12 YR,ADSO12 Curncy,PX_LAST,AU,Rates
AUD COR OIS 15 YR,ADSO15 Curncy,PX_LAST,AU,Rates
AUD COR OIS 20 YR,ADSO20 Curncy,PX_LAST,AU,Rates
AUD COR OIS 25 YR,ADSO25 Curncy,PX_LAST,AU,Rates
AUD COR OIS 30 YR,ADSO30 Curncy,PX_LAST,AU,Rates
NZD OIS 1 MO,NDSOA Curncy,PX_LAST,NZ,Rates
NZD OIS 2 MO,NDSOB Curncy,PX_LAST,NZ,Rates
NZD OIS 3 MO,NDSOC Curncy,PX_LAST,NZ,Rates
NZD OIS 4 MO,NDSOD Curncy,PX_LAST,NZ,Rates
NZD OIS 5 MO,NDSOE Curncy,PX_LAST,NZ,Rates
NZD OIS 6 MO,NDSOF Curncy,PX_LAST,NZ,Rates
NZD OIS 9 MO,NDSOI Curncy,PX_LAST,NZ,Rates
NZD OIS 12 MO,NDSO1 Curncy,PX_LAST,NZ,Rates
NZD OIS 18 MO,NDSO1F Curncy,PX_LAST,NZ,Rates
NZD OIS 2 YR,NDSO2 Curncy,PX_LAST,NZ,Rates
NZD OIS 3 YR,NDSO3 Curncy,PX_LAST,NZ,Rates
NZD OIS 4 YR,NDSO4 Curncy,PX_LAST,NZ,Rates
NZD OIS 5 YR,NDSO5 Curncy,PX_LAST,NZ,Rates
NZD OIS 6 YR,NDSO6 Curncy,PX_LAST,NZ,Rates
NZD OIS 7 YR,NDSO7 Curncy,PX_LAST,NZ,Rates
NZD OIS 8 YR,NDSO8 Curncy,PX_LAST,NZ,Rates
NZD OIS 9 YR,NDSO9 Curncy,PX_LAST,NZ,Rates
NZD OIS 10 YR,NDSO10 Curncy,PX_LAST,NZ,Rates
NZD OIS 12 YR,NDSO12 Curncy,PX_LAST,NZ,Rates
NZD OIS 15 YR,NDSO15 Curncy,PX_LAST,NZ,Rates
NZD OIS 20 YR,NDSO20 Curncy,PX_LAST,NZ,Rates
CAD CORRA OIS 1 WK,CDSO1Z Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 2 WK,CDSO2Z Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 1 MO,CDSOA Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 2 MO,CDSOB Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 3 MO,CDSOC Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 4 MO,CDSOD Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 5 MO,CDSOE Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 6 MO,CDSOF Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 9 MO,CDSOI Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 12 MO,CDSO1 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 18 MO,CDSO1F Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 3 YR,CDSO3 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 4 YR,CDSO4 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 5 YR,CDSO5 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 6 YR,CDSO6 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 7 YR,CDSO7 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 8 YR,CDSO8 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 9 YR,CDSO9 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 12 YR,CDSO12 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 15 YR,CDSO15 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 20 YR,CDSO20 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 25 YR,CDSO25 Curncy,PX_LAST,CA,Rates
CAD CORRA OIS 30 YR,CDSO30 Curncy,PX_LAST,CA,Rates
NOK NOWA OIS 1 MO,NKS1M Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 2 MO,NKS2M Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 3 MO,NKS3M Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 6 MO,NKS6M Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 9 MO,NKS9M Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 1 YR,NKS1Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 2 YR,NKS2Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 3 YR,NKS3Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 4 YR,NKS4Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 5 YR,NKS5Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 6 YR,NKS6Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 7 YR,NKS7Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 8 YR,NKS8Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 9 YR,NKS9Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 10 YR,NKS10Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 12 YR,NKS12Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 15 YR,NKS15Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 20 YR,NKS20Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 25 YR,NKS25Y Curncy,PX_LAST,NK,Rates
NOK NOWA OIS 30 YR,NKS30Y Curncy,PX_LAST,NK,Rates
CNY 7d OIS 1 MO,CCSWOA Curncy,PX_LAST,CN,Rates
CNY 7d OIS 3 MO,CCSWOC Curncy,PX_LAST,CN,Rates
CNY 7d OIS 6 MO,CCSWOF Curncy,PX_LAST,CN,Rates
CNY 7d OIS 9 MO,CCSWOI Curncy,PX_LAST,CN,Rates
CNY 7d OIS 1 YR,CCSWO1 Curncy,PX_LAST,CN,Rates
CNY 7d OIS 3 YR,CCSWO3 Curncy,PX_LAST,CN,Rates
CNY 7d OIS 4 YR,CCSWO4 Curncy,PX_LAST,CN,Rates
CNY 7d OIS 7 YR,CCSWO7 Curncy,PX_LAST,CN,Rates
HKD Hibor IRS 1 YR,HDSW1 Curncy,PX_LAST,HK,Rates
HKD Hibor IRS 18 MO,HDSW1F Curncy,PX_LAST,HK,Rates
HKD Hibor IRS 3 YR,HDSW3 Curncy,PX_LAST,HK,Rates
HKD Hibor IRS 4 YR,HDSW4 Curncy,PX_LAST,HK,Rates
HKD Hibor IRS 6 YR,HDSW6 Curncy,PX_LAST,HK,Rates
HKD Hibor IRS 7 YR,HDSW7 Curncy,PX_LAST,HK,Rates
HKD Hibor IRS 12 YR,HDSW12 Curncy,PX_LAST,HK,Rates
HKD Hibor IRS 15 YR,HDSW15 Curncy,PX_LAST,HK,Rates
CHF SARON OIS 1 WK,SFSNT1Z Curncy,PX_LAST,SW,Rates
CHF SARON OIS 2 WK,SFSNT2Z Curncy,PX_LAST,SW,Rates
CHF SARON OIS 1 MO,SFSNTA Curncy,PX_LAST,SW,Rates
CHF SARON OIS 2 MO,SFSNTB Curncy,PX_LAST,SW,Rates
CHF SARON OIS 3 MO,SFSNTC Curncy,PX_LAST,SW,Rates
CHF SARON OIS 4 MO,SFSNTD Curncy,PX_LAST,SW,Rates
CHF SARON OIS 5 MO,SFSNTE Curncy,PX_LAST,SW,Rates
CHF SARON OIS 6 MO,SFSNTF Curncy,PX_LAST,SW,Rates
CHF SARON OIS 7 MO,SFSNTG Curncy,PX_LAST,SW,Rates
CHF SARON OIS 8 MO,SFSNTH Curncy,PX_LAST,SW,Rates
CHF SARON OIS 9 MO,SFSNTI Curncy,PX_LAST,SW,Rates
CHF SARON OIS 10 MO,SFSNTJ Curncy,PX_LAST,SW,Rates
CHF SARON OIS 11 MO,SFSNTK Curncy,PX_LAST,SW,Rates
CHF SARON OIS 12 MO,SFSNT1 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 15 MO,SFSNT1C Curncy,PX_LAST,SW,Rates
CHF SARON OIS 18 MO,SFSNT1F Curncy,PX_LAST,SW,Rates
CHF SARON OIS 21 MO,SFSNT1I Curncy,PX_LAST,SW,Rates
CHF SARON OIS 2 YR,SFSNT2 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 3 YR,SFSNT3 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 4 YR,SFSNT4 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 5 YR,SFSNT5 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 6 YR,SFSNT6 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 7 YR,SFSNT7 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 8 YR,SFSNT8 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 9 YR,SFSNT9 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 10 YR,SFSNT10 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 12 YR,SFSNT12 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 15 YR,SFSNT15 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 20 YR,SFSNT20 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 25 YR,SFSNT25 Curncy,PX_LAST,SW,Rates
CHF SARON OIS 30 YR,SFSNT30 Curncy,PX_LAST,SW,Rates
SGD SORA OIS 1 MO,SDSOAA Curncy,PX_LAST,SW,Rates
SGD SORA OIS 2 MO,SDSOAB Curncy,PX_LAST,SW,Rates
SGD SORA OIS 3 MO,SDSOAC Curncy,PX_LAST,SW,Rates
SGD SORA OIS 6 MO,SDSOAF Curncy,PX_LAST,SW,Rates
SGD SORA OIS 9 MO,SDSOAI Curncy,PX_LAST,SW,Rates
SGD SORA OIS 12 MO,SDSOA1 Curncy,PX_LAST,SW,Rates
SGD SORA OIS 18 MO,SDSOA1F Curncy,PX_LAST,SW,Rates
SGD SORA OIS 3 YR,SDSOA3 Curncy,PX_LAST,SW,Rates
SGD SORA OIS 4 YR,SDSOA4 Curncy,PX_LAST,SW,Rates
SGD SORA OIS 6 YR,SDSOA6 Curncy,PX_LAST,SW,Rates
SGD SORA OIS 7 YR,SDSOA7 Curncy,PX_LAST,SW,Rates
SGD SORA OIS 8 YR,SDSOA8 Curncy,PX_LAST,SW,Rates
SGD SORA OIS 9 YR,SDSOA9 Curncy,PX_LAST,SW,Rates
SGD SORA OIS 12 YR,SDSOA12 Curncy,PX_LAST,SW,Rates
SGD SORA OIS 15 YR,SDSOA15 Curncy,PX_LAST,SW,Rates
SGD SORA OIS 20 YR,SDSOA20 Curncy,PX_LAST,SW,Rates
SGD SORA OIS 30 YR,SDSOA30 Curncy,PX_LAST,SW,Rates
ZAR ZARONIA OIS 1 MO,SAOIAAA Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 2 MO,SAOIAAB Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 3 MO,SAOIAAC Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 4 MO,SAOIAAD Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 5 MO,SAOIAAE Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 6 MO,SAOIAAF Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 7 MO,SAOIAAG Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 8 MO,SAOIAAH Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 9 MO,SAOIAAI Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 1 YR,SAOIAA1 Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 2 YR,SAOIAA2 Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 3 YR,SAOIAA3 Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 4 YR,SAOIAA4 Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 5 YR,SAOIAA5 Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 6 YR,SAOIAA6 Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 7 YR,SAOIAA7 Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 8 YR,SAOIAA8 Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 9 YR,SAOIAA9 Curncy,PX_LAST,SA,Rates
ZAR ZARONIA OIS 10 YR,SAOIAA10 Curncy,PX_LAST,SA,Rates
